address,level,memo,name,ssq,type
北京市海淀区厢红旗东2号,一级,08110091,北京市海淀区青龙桥社区卫生服务中心,海淀区,对外综合
北京市海淀区西三环北路19号7号楼,一级,08111009,北京外国语大学社区卫生服务中心（北京外国语大学医院）,海淀区,对外综合
北京市石景山区玉泉路甲（19）号,未评级,08111011,中国科学院大学卫生所,海淀区,对内
北京市海淀区学院路30号,一级,08111008,北京科技大学社区卫生服务中心(北京科技大学医院),海淀区,对外综合
北京市海淀区清华东路17号,一级,08111007,中国农业大学东区社区卫生服务中心(中国农业大学东区医院),海淀区,对外综合
北京市海淀区中关村南大街5号,一级,08111006,北京理工大学社区卫生服务中心（北京理工大学医院）,海淀区,对外综合
北京市海淀区清华东路35号,一级,08111005,北京林业大学社区卫生服务中心（北京林业大学医院）,海淀区,对外综合
北京市海淀区清华大学,二级,08111003,清华大学医院,海淀区,对外综合
北京市海淀区西土城路10号,一级,08111004,北京邮电大学社区卫生服务中心(北京邮电大学医院),海淀区,对外综合
北京市海淀区复兴路32号,一级,08111002,北京市海淀区万寿路街道六建社区卫生服务站,海淀区,社区卫生站
北京市海淀区西直门外上园村3号,一级,08111001,北京交通大学社区卫生服务中心（北京交通大学医院）,海淀区,对外综合
北京市海淀区学院路40号,未评级,08141012,电信科学技术研究院卫生所,海淀区,对内
北京市海淀区清河小营,未评级,08141013,中国电力科学研究院卫生所,海淀区,对内
北京市海淀区科学院南路10号,未评级,08141014,中国科学院计算技术研究所卫生所,海淀区,对内
北京市海淀区清华西路28号,未评级,08141028,北京市海淀区圆明园管理处医务室,海淀区,对内
北京市海淀区复兴路65号-2,一级,08155010,北京美尔目医院,海淀区,对外专科
北京市海淀区中关村东路118号金五星科技园写字楼（北楼西区）二层69、70、71、72、73、75号;北京市海淀区宝盛里芳清园3号楼1层商业01,未评级,08155009,北京口腔工作者协会天秀口腔门诊部,海淀区,对外专科
北京市海淀区翠微北里11号楼1栋,二级,08155149,北京优颐口腔医院,海淀区,对外专科
北京市海淀区海淀路152号,未评级,08155008,北京市海淀区医学救援中心,海淀区,对外专科
北京市西城区平原里21号楼1层1039、2层23001—23003、23025-23033、23035-23039、23050、23051,未评级,04162005,北京市西城区白纸坊街道双槐里社区卫生服务站,西城区,社区卫生站
北京市西城区石头胡同7号,未评级,04162011,北京市西城区大栅栏街道石头胡同社区卫生服务站,西城区,社区卫生站
北京市西城区北火扇29号前门,未评级,04162010,北京市西城区大栅栏街道北火扇社区卫生服务站,西城区,社区卫生站
北京市西城区西直门内大街132号2号楼、3号楼、5号楼（不含二层南区）,一级,02155009,北京圣康华医学研究院有限公司北京圣康华眼科医院,西城区,对外专科
北京市西城区复兴门北大街甲7号楼,未评级,02162037,北京市西城区月坛街道复北社区卫生服务站,西城区,社区卫生站
