address,bed_num,classify,deputy_director_num,director_num,email,employee_num,fax,hospital_level,hospital_type,institution_code,manage_type,name,open_bed_num,post,registry_time,tc_area,telephone
朝阳区工体南路8号,,,,,,,,,跨省已联通,400686312,定点医疗机构,首都医科大学附属北京朝阳医院（西院）,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市东城区天坛西里6号,,,,,,,,,跨省已联通,400686320,定点医疗机构,首都医科大学附属北京天坛医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市,,,,,,,,,跨省已联通,400686347,定点医疗机构,首都医科大学附属北京同仁医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市海淀区中关村南大街,,,,,,,,,跨省已联通,400777097,定点医疗机构,北京大学口腔医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市,,,,,,,,,跨省已联通,589062748,定点医疗机构,北京大学国际医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市东城区东单大华路1号路1号,,,,,,,,,跨省已联通,400005599,定点医疗机构,北京医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市东城区王府井帅府园1号,,,,,,,,,跨省已联通,400012916,定点医疗机构,北京协和医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市东城区交道口北二条31、36号,,,,,,,,,跨省已联通,400782662,定点医疗机构,北京市第六医院,,,2018/1/8 12:31:25,鼠标悬停查看协议地区,
北京市西城区西直门南大街11号,,,,,,,,,跨省已联通,400000886,定点医疗机构,北京大学人民医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
西城区西什库大街8号(近地安门西大街),,,,,,,,,跨省已联通,400010558,定点医疗机构,北京大学第一医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京西二环路阜成门立交桥西侧北礼路167号,,,,,,,,,跨省已联通,400014161,定点医疗机构,中国医学科学院阜外医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
西城区北京积水潭医院,,,,,,,,,跨省已联通,400686291,定点医疗机构,北京积水潭医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市西城区南礼士路56号,,,,,,,,,跨省已联通,400688764,定点医疗机构,首都医科大学附属北京儿童医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市西城区复兴门外大街甲20号,,,,,,,,,跨省已联通,400792430,定点医疗机构,首都医科大学附属复兴医院,,,2018/1/8 12:31:25,鼠标悬停查看协议地区,
北京市朝阳区,,,,,,,,,跨省已联通,1120161211163946718,定点医疗机构,首都医科大学附属北京朝阳医院（本部）,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市朝阳区潘家园南里17号,,,,,,,,,跨省已联通,400005695,定点医疗机构,中国医学科学院肿瘤医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市朝阳区樱花东路2号,,,,,,,,,跨省已联通,400014014,定点医疗机构,中日友好医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市朝阳区安贞路2号,,,,,,,,,跨省已联通,400688545,定点医疗机构,首都医科大学附属北京安贞医院,,,2017/7/12 14:34:43,鼠标悬停查看协议地区,
北京市朝阳区垂杨柳南街2号,,,,,,,,,跨省已联通,400833407,定点医疗机构,北京市垂杨柳医院（北京微创医院）,,,2018/1/8 12:31:25,鼠标悬停查看协议地区,
北京市丰台镇西安街1号,,,,,,,,,跨省已联通,400852974,定点医疗机构,北京丰台医院,,,2018/1/8 12:31:25,鼠标悬停查看协议地区,
本溪满族自治县小市镇政府路55号,,,,,,,,,跨省已联通,463532695,定点医疗机构,本溪满族自治县第一人民医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
桓仁镇长江大街66号,,,,,,,,,跨省已联通,463547248,定点医疗机构,桓仁满族自治县人民医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
辽宁省丹东市振兴区十经街19号,,,,,,,,,跨省已联通,210000000000110,定点医疗机构,中国人民解放军第二三零医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市元宝区宝山大街76号,,,,,,,,,跨省已联通,463703087,定点医疗机构,丹东市第一医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市振兴区人民街70号,,,,,,,,,跨省已联通,463703095,定点医疗机构,丹东市中心医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
辽宁省丹东市振兴区锦山大街20号,,,,,,,,,跨省已联通,463703140,定点医疗机构,丹东市中医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市振兴区振八街8-18号,,,,,,,,,跨省已联通,463704194,定点医疗机构,丹东市人民医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市宽甸镇花脖山路19号,,,,,,,,,跨省已联通,463792120,定点医疗机构,宽甸满族自治县中医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市宽甸县天华路292号,,,,,,,,,跨省已联通,463792139,定点医疗机构,宽甸满族自治县中心医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市东港市人民大街6号,,,,,,,,,跨省已联通,463731301,定点医疗机构,东港市中医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
丹东市东港市黄海大街149号,,,,,,,,,跨省已联通,463731328,定点医疗机构,东港市中心医院,,,2017/9/14 17:23:34,鼠标悬停查看协议地区,
