address,level,memo,name,ssq,telephone,type
重庆市荣昌区昌元街道上河路110号,,30906,重庆佳盛药房连锁有限公司第五连锁店,荣昌区,,药店
重庆市荣昌区昌元街道学院支路25号,,30905,重庆市荣昌区香海大药房,荣昌区,,药店
荣昌区昌州街道迎宾大道14号附47、48号,,30033,华森大药房荣昌区昌州街道荣城御景药店,荣昌区,,药店
重庆市荣昌区昌州街道国泰路62号,,30039,荣昌区昌州街道华森大药房林丹药店,荣昌区,,药店
荣昌区昌元街道宝城路一段87、89号,,30041,荣昌区昌元街道民医馆药房,荣昌区,,药店
荣昌区昌州街道棠香北街57号,,30044,重庆和平药房连锁有限责任公司荣昌第九连锁店,荣昌区,,药店
重庆市荣昌区昌州街道民安街113号,,30899,重庆市荣昌区善安堂大药房,荣昌区,,药店
重庆市荣昌区清升镇人民路8号,,30897,佳盛药房重庆市荣昌区清升镇平康店,荣昌区,,药店
重庆市荣昌区昌州街道北部新区颐和街12号,,30900,荣昌区昌州街道杏仁堂药房,荣昌区,,药店
重庆市荣昌区盘龙镇盘龙路631-2号、631-3号,,30907,佳盛药房荣昌区盘龙镇政康店,荣昌区,,药店
重庆市荣昌区广顺街道成渝东路99号,,31450,重庆通天大药房连锁有限公司荣昌区成渝东路店,荣昌区,,药店
重庆市荣昌区昌州街道棠香北街73号附32号,,31453,重庆市荣昌区华森大药房心美健药店,荣昌区,,药店
重庆市荣昌区盘龙镇育兴街幼儿园片区A幢11号,,31458,重庆市荣昌区公信网大药房慈仁堂药房,荣昌区,,药店
重庆市荣昌区昌州街道棠香北街122号,,31460,重庆华森大药房零售连锁有限公司上海公馆店,荣昌区,,药店
重庆市荣昌区安富街道安清支路46号,,30903,桐君阁大药房荣昌县安富镇三十一药店,荣昌区,,药店
大足区邮亭镇复兴村5组,,31292,太乙堂大药房双桥经开区47分店,大足区,,药店
大足区龙岗街道中山花园B幢8号、9号,,31301,大足区洪霖药房,大足区,,药店
大足区龙岗街道龙中路153号,,31287,海通大药房大足区荣华永诚药房,大足区,,药店
双桥经开区龙滩子花朝六商住楼底层1门市,,29889,江岸大药房双桥经开区城中药店,大足区,,药店
大足区高坪镇冒咕街,,29895,海通大药房大足区冉氏药店,大足区,,药店
大足区三驱镇玉金街98号,,29897,太乙堂大药房大足区116分店,大足区,,药店
大足区三驱镇五金街4号,,29900,大足区蒋家药房,大足区,,药店
大足区棠香街道一环北路东段293号,,29894,大足区平康大药房,大足区,,药店
大足区棠香街道圣迹南路28、30号门市,,31296,重庆市大足区百安居大药房,大足区,,药店
大足区中敖镇龙头街A幢17号,,31302,太乙堂大药房大足区115分店,大足区,,药店
大足区高坪镇高峰村4组,,31303,重庆市大足区康速达大药房,大足区,,药店
大足区龙岗街道龙岗西路220号,,31294,麦克红康药房大足区康健药店,大足区,,药店
大足区棠香街道二环北路中段221号附91号,,31298,重庆凯汀药业有限公司仓储店,大足区,,药店
大足区高坪镇青龙街村1组487号,,31291,太乙堂大药房大足区153分店,大足区,,药店
大足区棠香街道办事处北环中路1幢B单元3-4号,,30523,重庆市万和药房连锁有限公司大足北环中路店,大足区,,药店
长寿区长寿湖镇美食街14号,,31329,华博健康药房长寿区黄美药房,长寿区,,药店
重庆市长寿区新市街镇河石井路33号1-10,,31327,重庆市长寿区荣盛药房河石井店,长寿区,,药店
重庆长寿区育才路22号附2号附3号,,31332,重庆海华医药有限公司长寿二十二门市,长寿区,,药店
重庆市长寿区桃源西四路27幢840号、842号,,31337,重庆市万和药房连锁有限公司长寿区璞山店,长寿区,,药店
重庆市长寿区菩提街道文菀大道1号8幢1-8,,31338,重庆市长寿区保康药房,长寿区,,药店
重庆市长寿区洪湖镇街上13幢1—8号,,31340,重庆市长寿区公信网大药房桃源药店,长寿区,,药店
重庆市长寿区菩提街道桃源西三路532号,,31341,重庆市长寿区海云康药房,长寿区,,药店
长寿区站东路765号,,31345,重庆市长寿药业公司药上堂药房加盟连锁七店,长寿区,,药店
