address,level,memo,name,ssq,telephone,type
荣昌县清江镇河中村6组,一级,16686,荣昌县清江镇河中村卫生室卢祥富,荣昌区,,村卫生室
重庆市荣昌县铜鼓镇桂花街27号,一级,67114,荣昌县铜鼓镇姚武明西医诊所,荣昌区,,诊所
重庆市荣昌区盘龙镇大建社区古墙村,一级,67102,重庆市荣昌区盘龙镇大建社区古墙卫生室刘友素,荣昌区,,村卫生室
重庆市荣昌区荣隆镇培爵村,一级,67106,重庆市荣昌区荣隆镇培爵村卫生室贺光君,荣昌区,,村卫生室
荣昌县昌元街道方家坝村,一级,64779,荣昌县昌元街道方家坝村卫生室二室邓明英,荣昌区,,村卫生室
荣昌区昌元街道莲花路30号,一级,66732,荣昌韩明朗西医诊所,荣昌区,,诊所
荣昌区昌州街道迎宾大道3幢29号附128号,一级,66734,荣昌何道君西医诊所,荣昌区,,诊所
荣昌区昌州街道昌龙大道176号附4号,一级,66742,荣昌何英口腔诊所,荣昌区,,诊所
重庆市荣昌区昌元街道南大街47号,一级,67109,荣昌叶林西医诊所,荣昌区,,诊所
重庆市荣昌区吴家镇兴盛街110号,一级,67116,荣昌蒋俊西医诊所,荣昌区,,诊所
重庆市荣昌区昌元镇新峰街12号,一级,67117,荣昌县新峰街道王良勇西医诊所,荣昌区,,诊所
重庆市荣昌区昌元街道骡马巷54号,一级,67111,荣昌叶洪西医诊,荣昌区,,诊所
重庆市荣昌区荣隆镇沙坝子村,一级,67101,重庆市荣昌区荣隆镇沙坝子村燕山卫生室郑开琼,荣昌区,,村卫生室
重庆市荣昌区昌州街道昌龙大道170号1幢附5号,一级,67508,荣昌李全章西医诊所,荣昌区,,诊所
重庆市荣昌区双河街道排山岰社区大面寺村,一级,67518,重庆市荣昌区双河街道排山岰社区大面寺卫生室（杨昌炳）,荣昌区,,村卫生室
合川区三庙镇水梨街2号　,一级,67164,合川伍昌学诊所　,合川区,,诊所
合川区云门街道云龙街236号,一级,67166,合川胡川诊所,合川区,,诊所
合川区合阳办马家沟36号,二级,66929,重庆合川光明医院,合川区,,医院
合川区合办处学府路9号,一级,66932,合川陈三江百姓诊所,合川区,,专科病防治院
合川南办处牌坊路60号,一级,66933,合川刘兴龙三和诊所,合川区,,诊所
合川南办处希尔安大道1195号3幢1209号　,一级,66925,合川张志明紫荆苑诊所　,合川区,,诊所
合川区合阳办葡萄街36、38、40号　,一级,66927,合川唐贤六中西医结合诊所,合川区,,诊所
合川区合办处嘉陵路372号,一级,66926,合川平频诊所,合川区,,诊所
合川区合阳办久长路步行街135号临江楼D栋1-26号,一级,66928,合川曹凯诊所,合川区,,诊所
合川区南津街合荣路５４３号,二级,66931,合川江城医院,合川区,,医院
合川区南办处南津街111号　,一级,67165,合川冯旭东中医诊所,合川区,,诊所
合川区钓办处太平门社区北环路339、341、343号,一级,67167,重庆市合川区钓鱼城街道太平门社区卫生服务站,合川区,,社区卫生站
经开区建新路2号附11号,一级,66650,唐洪中医诊所,大足区,,社区卫生站
金山镇街村,一级,66647,大足区唐可友中医诊所,大足区,,村卫生室
中敖镇三桥村,一级,66651,中敖镇三桥村于世明卫生站,大足区,,村卫生室
拾万镇长虹村,一级,67861,拾万镇长虹村李传第卫生室,大足区,,村卫生室
重庆市大足区龙岗街道办事处累丰路累丰社区,一级,67882,重庆大足郭昌毕骨伤科医院,大足区,,医院
龙岗街道明星村,一级,67857,龙岗街道明星村张润华卫生室,大足区,,村卫生室
金山镇红旗村,一级,67867,金山镇红旗村唐维强卫生室,大足区,,村卫生室
棠香街道三合村,一级,67869,棠香街道三合村周永兵卫生室,大足区,,村卫生室
中敖镇双柏村,一级,67863,中敖镇双柏村周正均卫生室,大足区,,村卫生室
铁山镇多宝村,一级,67865,铁山镇多宝村王利卫生室,大足区,,村卫生室
金山镇金山村,一级,67868,金山镇金山村胡太生卫生室,大足区,,村卫生室
宝兴镇金竹村,一级,67862,宝兴镇金竹村左健卫生室,大足区,,村卫生室
重庆市大足区龙岗街道龙中路25号,一级,67883,重庆大足中南医院,大足区,,医院
智凤街道新店社区,一级,67858,智凤街道新店社区杨鹏卫生室,大足区,,村卫生室
长寿区桃园西三路348号附58号,一级,67437,长寿区曾吉宏西医诊所,长寿区,,诊所
长寿区文苑北路2号维丰.沁园坊23幢14号,一级,67438,长寿区刘勇中医诊所,长寿区,,诊所
长寿区菩提街道桃兴二路149号,一级,67439,长寿区刘旭中医诊所,长寿区,,诊所
重庆市长寿区渡舟街道田坝村菩提大道127号,一级,67440,重庆市长寿区渡舟街道田坝村卫生室,长寿区,,村卫生室
长寿区文苑北路2号沁园坊16幢负1—2、1—3号,一级,66722,长寿区杨臣勤诊所,长寿区,,诊所
长寿区凤城街道火神街61号,一级,67436,长寿区吴会敏中医诊所,长寿区,,诊所
重庆市长寿区晏家街道办事处育才路35号,二级,66975,重庆市长寿区精神卫生中心,长寿区,40714337,医院
重庆市长寿区桃花大道10号附76号,一级,67434,长寿区陈本林口腔诊所,长寿区,,诊所
长寿区凤城创业街6号2-1,一级,67435,重庆市长寿区余瑛西医诊所,长寿区,,诊所
合川区渭沱交通街209号,一级,67168,合川永红诊所,合川区,,诊所
合川区土场镇银翔城银翔大道二支路　,二级,66924,重庆合川华银新城中医院,合川区,,医院
合川区土场镇北汽银翔工业园鑫友路63号,一级,67587,合川张宝祥诊所,合川区,,诊所
智凤街道永福村,一级,67859,智凤街道永福村周明友卫生室,大足区,,村卫生室
扶欢镇青岩2社,一级,67411,重庆市綦江区扶欢镇青岩村卫生室,綦江区,,村卫生室
扶欢镇文峰村2社,一级,67412,重庆市綦江区扶欢镇文峰村卫生室,綦江区,,村卫生室
綦江区文龙街道大田湾4号,一级,66834,綦江杜咸剑诊所,綦江区,,诊所
重庆市綦江区文龙街道双龙路10号,一级,66829,重庆綦江金华中西医结合医院,綦江区,,医院
重庆市綦江区文龙街道通惠大道22号1幢2-2,一级,67271,重庆綦江仁人堂中医医院,綦江区,,医院
重庆市綦江区古南街道中山路42号,一级,67616,重庆綦江大同医院,綦江区,,医院
重庆市綦江区安稳镇麻沟村一组,一级,67618,重庆市綦江区安稳镇麻沟村河坝卫生室,綦江区,,村卫生室
重庆市綦江区文龙街道通惠大道29号新都汇附73号,一级,67617,綦江封明洪中医诊所,綦江区,,诊所
綦江区通惠大道32号时代天骄9号2-26 2-27,一级,67811,綦江赵宏诊所,綦江区,,诊所
綦江区打通南路66号亮达兴隆湾小区23幢,一级,67918,重庆綦江唐德华医院,綦江区,,医院
重庆市铜梁区巴川街道办事处接龙村十社,一级,66797,铜梁王建平诊所,铜梁区,,诊所
重庆市铜梁区巴川街道办事处天主堂巷27、29号,一级,66799,铜梁陈朝建诊所,铜梁区,,诊所
重庆市铜梁区南城街道办事处铁石街98、100号,一级,67197,重庆铜梁福乐诊所,铜梁区,,诊所
重庆市铜梁区东城街道办事处塔山东街447、449号,一级,67200,铜梁张达新诊所,铜梁区,,诊所
铜梁县大庙镇石兴村1社,一级,67205,铜梁县大庙镇石兴村十一社卫生点,铜梁区,,村卫生室
重庆市铜梁区东城街道办事处龙城大道130、132号,一级,66794,重庆铜梁力康诊所,铜梁区,,诊所
铜梁县东城街道花院村八社,一级,18215,东城街道花院村卫生室,铜梁区,45437120,村卫生室
长寿区桃花大道58号附35号,一级,66725,长寿区程志强西医诊所,长寿区,,诊所
重庆市长寿区菩提街道桃兴二路163号,一级,67573,长寿区袁小鹰西医诊所,长寿区,,诊所
重庆市长寿区晏家街道晏长路9号1幢1-9,一级,66723,长寿区杨小平西医诊所,长寿区,,诊所
长寿区桃源南路2号宝润国际商业1栋1层6号第2层铺面,一级,66724,重庆市长寿区李文书口腔诊所,长寿区,,诊所
长寿区桃源西路15号负1-13.负1-14负1-15负1-16负1-17,一级,67574,重庆市长寿区瑞泰口腔门诊部,长寿区,,门诊部
长寿区桃花大道58号5幢1层附138号,一级,67903,长寿区余世中诊所,长寿区,,诊所
重庆市潼南区柏梓镇龙口村四社,一级,67301,潼南区柏梓镇龙口村卫生室,潼南区,,村卫生室
重庆市潼南区梓潼街道办事处建设东路18号,一级,67018,潼南杨春军西医诊所,潼南区,,诊所
潼南县上和镇青龙村,一级,13973,潼南县上和镇青龙村-刘光华,潼南区,,村卫生室
重庆市潼南区梓潼街道办事处书院街56号,一级,66890,潼南区周淑梅中医诊所,潼南区,,诊所
重庆市潼南县梓潼街道办事处大坡路6号,一级,66843,潼南县杨祖烈中医诊所,潼南区,,诊所
潼南李晓蓉西医诊所,一级,67365,潼南李晓蓉西医诊所,潼南区,,诊所
潼南县双江镇木井村,一级,13984,潼南县双江镇木井村-殷顺品,潼南区,,村卫生室
潼南县梓潼街道办事处东安大道61号,一级,67399,潼南杨建平口腔诊所,潼南区,,诊所
永川区昌州大道东段2463号,一级,67069,永川张绍仁诊所,永川区,,诊所
永川区官井路15号,一级,67073,永川刘吉高诊所,永川区,,诊所
永川区红河南路888号16幢一层980、982号,一级,67079,永川任吉友诊所,永川区,,诊所
永川区龙洲锦绣花园1栋162号,一级,67547,永川周希福诊所,永川区,,诊所
江津区白沙镇新街40号,一级,67231,江津区白沙镇滩盘社区交通街卫生室,江津区,,村卫生室
江津区白沙镇恒和村大沟头,一级,67236,江津区白沙镇恒和村大沟头卫生室,江津区,,村卫生室
江津区白沙镇土地村寿增三叉路口,一级,67244,江津区白沙镇土地村黄角榜卫生室,江津区,,村卫生室
江津区吴滩镇现龙村街道,一级,67248,江津区吴滩镇现龙村桥亭卫生室,江津区,,村卫生室
江津区杜市镇梅湾村沙店,一级,67261,江津区杜市镇梅湾村沙店卫生室,江津区,,村卫生室
江津区几江城南市场3#楼1层12号,一级,66898,江津龙春诊所,江津区,,诊所
江津区白沙镇东山村长安路,一级,66918,江津区白沙镇东山村长安路卫生室,江津区,,村卫生室
江津区慈云镇小园村打石场,一级,66915,江津区慈云镇小园村打石场卫生室,江津区,47714941,村卫生室
江津区永兴镇黄庄村胡家杨,一级,66923,江津区永兴镇黄庄村卫生室,江津区,,村卫生室
江津区贾嗣镇龙山村挖断山,一级,67263,江津区贾嗣镇龙山村卫生室,江津区,,村卫生室
江津区慈云镇刁家新街,一级,66896,江津刁善均诊所,江津区,,诊所
綦江区古南街道名山村1社,一级,67920,重庆市綦江区古南街道名山村卫生室,綦江区,,村卫生室
綦江区文龙街道沙溪路38号1幢附1-2号,一级,67919,重庆市綦江区文龙街道沙溪村卫生室,綦江区,,村卫生室
綦江区三角镇乐兴中坝村,一级,67921,重庆市綦江区三角镇乐兴中坝村卫生室,綦江区,,村卫生室
綦江区隆盛镇双拱村柏树嘴,一级,67922,重庆市綦江区隆盛镇双拱村卫生室,綦江区,,村卫生室
綦江区安稳镇安稳路20号安稳小区7幢2-3层,一级,68119,重庆綦江谊康中医医院,綦江区,,医院
重庆市铜梁区巴川街道办事处中南路886号,一级,66985,铜梁李继良诊所,铜梁区,,诊所
重庆市铜梁区平滩镇建新街18号,一级,66994,铜梁王帮维诊所,铜梁区,,诊所
重庆市铜梁区巴川街道办事处龙门街348号附15-16号,一级,66996,重庆铜梁福源中医门诊部,铜梁区,,门诊部
东城街道办事处龙城大道699号（普罗旺斯）21幢1-4,一级,66984,铜梁曹邦昌诊所,铜梁区,,诊所
